sold_price,address,mean_sqarefootage,Type,renamedType,Style,Community,List Price,Bedrooms,Dens,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,longitude,latitude,weblink,squarefootage
205000,4645 Jane Street,950,Condo Apt,Condo Apartment,Apartment,Black Creek,219900,2,0,1,1,5,1,W05,-79.519841,43.769643,https://www.zolo.ca/toronto-real-estate/4645-jane-street/1101,900-999
230000,50 Old Kingston Road,550,Co-Op Apt,Co-op / Co-Ownership Apartment,Apartment,West Hill,220000,1,0,1,1,4,0,E10,-79.182497,43.775476,https://www.zolo.ca/toronto-real-estate/50-old-kingston-road/-505,500-599
299000,10 Eddystone Avenue,1100,Condo Townhouse,Condo Townhouse,Stacked Townhouse,Glenfield-Jane Heights,249000,3,0,2,1,6,1,W05,-79.515943,43.749223,https://www.zolo.ca/toronto-real-estate/10-eddystsone-avenue/267,1000-1199
275000,2737 Keele Street,250,Condo Apt,Condo Apartment,Apartment,Downsview-Roding-CFB,255000,0,0,1,1,3,1,W05,-79.481416,43.725043,https://www.zolo.ca/toronto-real-estate/2737-keele-street/401,0-499
305888,10 Eddystone Avenue,1100,Condo Apt,Condo Apartment,Apartment,Glenfield-Jane Heights,269000,3,0,2,1,6,1,W05,-79.515943,43.749223,https://www.zolo.ca/toronto-real-estate/10-eddystone-avenue/268,1000-1199
276500,4064 Lawrence Avenue E,1100,Condo Apt,Condo Apartment,2-Storey,West Hill,275000,2,0,1,1,5,1,E10,-79.196922,43.766161,https://www.zolo.ca/toronto-real-estate/4064-lawrence-avenue-east/517,1000-1199
265000,4062 Lawrence Avenue E,950,Condo Apt,Condo Apartment,2-Storey,West Hill,289000,2,0,1,1,5,1,E10,-79.197015,43.766138,https://www.zolo.ca/toronto-real-estate/4062-lawrence-avenue-east/101,900-999
299500,1648 Bathurst Street,250,Co-Op Apt,Co-op / Co-Ownership Apartment,Apartment,Forest Hill South,299000,1,0,1,1,3,0,C03,-79.422816,43.693823,https://www.zolo.ca/toronto-real-estate/1648-bathurst-street/3,0-499
288000,3625 Lake Shore Boulevard W,250,Co-Op Apt,Co-op / Co-Ownership Apartment,Apartment,Long Branch,299900,1,0,1,1,5,1,W06,-79.536986,43.593699,https://www.zolo.ca/toronto-real-estate/3625-lake-shore-boulevard-west/504,0-499
345000,2737 Keele Street,750,Condo Apt,Condo Apartment,Apartment,Downsview-Roding-CFB,299999,1,1,1,1,5,2,W05,-79.481416,43.725043,https://www.zolo.ca/toronto-real-estate/2737-keele-street/311,700-799
315000,2737 Keele Street,550,Condo Apt,Condo Apartment,Apartment,Downsview-Roding-CFB,319900,1,0,1,1,4,1,W05,-79.481416,43.725043,https://www.zolo.ca/toronto-real-estate/2737-keele-street/904,500-599
317000,940 Caledonia Road,750,Condo Apt,Condo Apartment,Apartment,Yorkdale-Glen Park,319900,2,0,1,1,5,1,W04,-79.46549,43.706438,https://www.zolo.ca/toronto-real-estate/940-caledonia-road/1112,700-799
310000,235 Grandravine Drive,850,Co-Ownership Apt,Co-op / Co-Ownership Apartment,Apartment,Glenfield-Jane Heights,324900,2,0,1,1,6,1,W05,-79.507038,43.748379,https://www.zolo.ca/toronto-real-estate/235-grandravine-drive/203,800-899
300000,4060 Lawrence Avenue E,1300,Comm Element Condo,Condo Apartment,2-Storey,West Hill,325000,3,0,2,1,6,1,E10,-79.197109,43.766115,https://www.zolo.ca/toronto-real-estate/4060-lawrence-avenue-east/406,1200-1399
375000,915 Midland Avenue,550,Condo Apt,Condo Apartment,Apartment,Eglinton East,325000,1,0,1,1,4,1,E08,-79.257787,43.735622,https://www.zolo.ca/toronto-real-estate/915-midland-avenue/602,500-599
355000,380 Dixon Road,750,Condo Apt,Condo Apartment,Apartment,Kingsview Village-The Westway,329000,1,0,1,1,4,1,W09,-79.556727,43.695162,https://www.zolo.ca/toronto-real-estate/380-dixon-road/303,700-799
320000,55 - 7 Brimley Road S,250,Det Condo,Det Condo,Bungalow,Cliffcrest,339000,1,0,1,1,3,1,E08,-79.240275,43.718081,https://www.zolo.ca/toronto-real-estate/7-brimley-road-south/e-55,0-499
