,sold_price,address,sqarefootage,Type,Style,Community,List Price,bedNum,Bedrooms,bathNum,Bathrooms,Kitchens,Rooms,Parking Total,Municipality District,longitude,latitude,pageNum,iterationNum,weblink,Unnamed: 20,Dens
0,"735,000",9C Walter Street,700-799,Condo Townhouse,Stacked Townhse,Woodbine Corridor,599900,2,2,1.0,1,1,5,1,Toronto E02,,,,,,,0
1,"1,171,017",993 Queen Street,1000-1199,Condo Apt,Loft,Niagara,1150000,1,1,1.0,1,1,5,1,Toronto C01,-79.37945699999999,43.652908,274.0,46.0,https://www.zolo.ca/toronto-real-estate/993-queen-street/320,,0
2,"1,080,000",99 Willowridge Road,1500-2000,Detached,2 1/2 Storey,Willowridge-Martingrove-Richview,990000,3,3,2.0,2,1,9,4,Toronto W09,-79.572758,43.678478,207.0,36.0,https://www.zolo.ca/toronto-real-estate/99-willowridge-road,,0
3,"1,011,000",99 The Queensway Avenue,1600-1799,Condo Townhouse,3-Storey,High Park-Swansea,1050000,3,3,3.0,3,1,6,1,Toronto W01,-79.47019,43.636993,37.0,36.0,https://www.zolo.ca/toronto-real-estate/99-the-queensway-avenue/th38,,0
4,"607,000",99 The Donway Way W,600-699,Condo Apt,Apartment,Banbury-Don Mills,559900,1,1,1.0,1,1,5,1,Toronto C13,-79.46616999999999,43.66328,258.0,28.0,https://www.zolo.ca/toronto-real-estate/99-the-donway-way-west/219,,1
5,"571,000",99 The Donway W Road W,500-599,Condo Apt,Apartment,Banbury-Don Mills,565000,1,1,1.0,1,1,1,1,Toronto C13,-79.346192,43.740478,101.0,64.0,https://www.zolo.ca/toronto-real-estate/99-the-donway-w-road-west/902,,0
6,"560,000",99 The Donway W,600-699,Condo Apt,Apartment,Banbury-Don Mills,569000,1,1,1.0,1,1,5,1,Toronto C13,-79.346192,43.740478,62.0,22.0,https://www.zolo.ca/toronto-real-estate/99-the-donway--west/102,,0
7,"598,800",99 The Donway W,600-699,Condo Apt,Apartment,Banbury-Don Mills,598800,1,1,2.0,2,1,4,1,Toronto C13,-79.346192,43.740478,68.0,28.0,https://www.zolo.ca/toronto-real-estate/99-the-donway-w/107,,1
8,"580,000",99 The Donway Road,500-599,Condo Apt,Apartment,Banbury-Don Mills,558000,1,1,1.0,1,1,3,1,Toronto C13,-79.4163,43.70011,312.0,86.0,https://www.zolo.ca/toronto-real-estate/99-the-donway-road/904,,0
9,"579,000",99 The Donway Avenue W,600-699,Condo Apt,Apartment,Banbury-Don Mills,599900,1,1,2.0,2,1,5,1,Toronto C13,,,,,,,1
10,"545,000",99 The Donway,600-699,Condo Apt,Apartment,Banbury-Don Mills,544700,1,1,1.0,1,1,5,1,Toronto C13,-79.341183,43.73897,104.0,28.0,https://www.zolo.ca/toronto-real-estate/99-the-donway/222,,1
11,"1,975,000",99 Prince Edward Drive S,2500-3000,Detached,2-Storey,Stonegate-Queensway,1998000,4,4,5.0,5,1,8,6,Toronto W07,-79.49991700000001,43.636467,203.0,54.0,https://www.zolo.ca/toronto-real-estate/99-prince-edward-drive-south,,1
12,"1,250,000",99 Mourning Dove Crescent,2000-2500,Detached,2-Storey,Malvern,999900,4,4,4.0,4,1,8,5,Toronto E11,-79.225319,43.815054,373.0,60.0,https://www.zolo.ca/toronto-real-estate/99-mourning-dove-crescent,,2
13,"580,000",99 Hayden Street,500-599,Condo Apt,Apartment,Church-Yonge Corridor,589900,1,1,1.0,1,1,4,1,Toronto C08,-79.381726,43.67024,49.0,62.0,https://www.zolo.ca/toronto-real-estate/99-hayden-street/806,,0
14,"865,000",99 Hayden Street,900-999,Condo Apt,Apartment,Church-Yonge Corridor,875000,2,2,2.0,2,1,6,1,Toronto C08,-79.381726,43.67024,64.0,50.0,https://www.zolo.ca/toronto-real-estate/99-hayden-street/205,,1
15,"958,000",99 Harbour Square,900-999,Condo Apt,Apartment,Waterfront Communities C1,989800,2,2,2.0,2,1,5,1,Toronto C01,-79.379061,43.63926,238.0,38.0,https://www.zolo.ca/toronto-real-estate/99-harbour-square/3602,,0
