Sold_price,Squarefootage,Type,Style,Community,Municipality District,longitude,latitude,Bedrooms,Dens,Bathrooms,Kitchens,Rooms,Parking Total
205000,950,Condo Apartment,Apartment,Black Creek,W05,-79.519841,43.769643,2,0,1,1,5,1
230000,550,Co-op / Co-Ownership Apartment,Apartment,West Hill,E10,-79.182497,43.775476,1,0,1,1,4,0
299000,1100,Condo Townhouse,Stacked Townhouse,Glenfield-Jane Heights,W05,-79.515943,43.749223,3,0,2,1,6,1
275000,250,Condo Apartment,Apartment,Downsview-Roding-CFB,W05,-79.481416,43.725043,0,0,1,1,3,1
305888,1100,Condo Apartment,Apartment,Glenfield-Jane Heights,W05,-79.515943,43.749223,3,0,2,1,6,1
276500,1100,Condo Apartment,2-Storey,West Hill,E10,-79.196922,43.766161,2,0,1,1,5,1
265000,950,Condo Apartment,2-Storey,West Hill,E10,-79.197015,43.766138,2,0,1,1,5,1
299500,250,Co-op / Co-Ownership Apartment,Apartment,Forest Hill South,C03,-79.422816,43.693823,1,0,1,1,3,0
288000,250,Co-op / Co-Ownership Apartment,Apartment,Long Branch,W06,-79.536986,43.593699,1,0,1,1,5,1
345000,750,Condo Apartment,Apartment,Downsview-Roding-CFB,W05,-79.481416,43.725043,1,1,1,1,5,2
315000,550,Condo Apartment,Apartment,Downsview-Roding-CFB,W05,-79.481416,43.725043,1,0,1,1,4,1
317000,750,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.46549,43.706438,2,0,1,1,5,1
310000,850,Co-op / Co-Ownership Apartment,Apartment,Glenfield-Jane Heights,W05,-79.507038,43.748379,2,0,1,1,6,1
300000,1300,Condo Apartment,2-Storey,West Hill,E10,-79.197109,43.766115,3,0,2,1,6,1
375000,550,Condo Apartment,Apartment,Eglinton East,E08,-79.257787,43.735622,1,0,1,1,4,1
355000,750,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.556727,43.695162,1,0,1,1,4,1
